ColumnType,StorageFormat,Description,ColumnCategory
BV  ,,VARBYTE,VARBYTE
A1  ,,ARRAY One Dimension,ARRAY
PM  ,,PERIOD(TIMESTAMP) WITH TIME ZONE),PERIOD
PZ  ,,PERIOD(TIME) WITH TIME ZONE),PERIOD
JN  ,TEXT,JSON,JSON
YI  ,,INTERVAL YEAR,INTERVAL
LF  ,,Pre-TD12.0 CHARACTER Fixed Locale,CHAR
DS  ,,INTERVAL DAY TO SECOND,INTERVAL
AN  ,,MULTI-DIMENSIONAL ARRAY,ARRAY
DH  ,,INTERVAL DAY TO HOUR,INTERVAL
HS  ,,INTERVAL HOUR TO SECOND,INTERVAL
BF  ,,BYTE,BYTE
SZ  ,,TIMESTAMP WITH TIME ZONE,TIMESTAMP
XM  ,,XML,XML
N   ,,NUMBER,NUMBER
DM  ,,INTERVAL DAY TO MINUTE,INTERVAL
I2  ,,SMALLINT,SMALLINT
HM  ,,INTERVAL HOUR TO MINUTE,INTERVAL
SC  ,,INTERVAL SECOND,INTERVAL
CV  ,,VARCHAR,VARCHAR
DT  ,CSV,DATASET(CSV),DATASET
PT  ,,PERIOD(TIME),PERIOD
UT  ,,UDT TYPE,UDT
DY  ,,INTERVAL DAY,INTERVAL
MI  ,,INTERVAL MINUTE,INTERVAL
YR  ,,YEAR,YEAR
TS  ,,TIMESTAMP,TIMESTAMP
UV  ,,VARCHAR,VARCHAR
PS  ,,PERIOD(TIMESTAMP),PERIOD
YM  ,,INTERVAL YEAR TO MONTH,INTERVAL
D   ,,DECIMAL,DECIMAL
DT  ,AVRO,DATASET(AVRO),DATASET
JN  ,UBJSON,UBJSON,JSON
I   ,,INTEGER,INTEGER
AT  ,,TIME,TIME
LV  ,,Pre-TD12.0 CHARACTER VARYING Locale,VARCHAR
GV  ,,VARGRAPHIC,VARGRAPHIC
UF  ,,CHAR,CHAR
MO  ,,INTERVAL MONTH,INTERVAL
CF  ,,CHAR,CHAR
I1  ,,BYTEINT,BYTEINT
BO  ,,BLOB,BLOB
HR  ,,INTERVAL HOUR,INTERVAL
I8  ,,BIGINT,BIGINT
GF  ,,GRAPHIC,GRAPHIC
DA  ,,DATE,DATE
CO  ,,CLOB,CLOB
VA  ,,XML/JSON Variable List,TD_VALIST
PD  ,,PERIOD(DATE),PERIOD
JN  ,BSON,BSON,JSON
TZ  ,,TIME WITH TIME ZONE,TIME
F   ,,FLOAT,FLOAT
MS  ,,INTERVAL MINUTE TO SECOND,INTERVAL
++  ,,TD_ANYTYPE,TD_ANYTYPE
