SITE_ID,PctReadsKB,KBRead,IO_Rating
XYZ,0,24,150
XYZ,0,32,150
XYZ,0,48,150
XYZ,0,64,150
XYZ,0,96,150
XYZ,0,128,150
XYZ,0,256,150
XYZ,0,512,150
XYZ,0,1000,150
XYZ,0,2000,150
XYZ,50,24,180
XYZ,50,32,180
XYZ,50,48,180
XYZ,50,64,180
XYZ,50,96,180
XYZ,50,128,180
XYZ,50,256,180
XYZ,50,512,180
XYZ,50,1000,180
XYZ,50,2000,180
XYZ,80,24,200
XYZ,80,32,200
XYZ,80,48,200
XYZ,80,64,200
XYZ,80,96,200
XYZ,80,128,200
XYZ,80,256,200
XYZ,80,512,200
XYZ,80,1000,200
XYZ,80,2000,200
XYZ,90,24,216
XYZ,90,32,216
XYZ,90,48,216
XYZ,90,64,216
XYZ,90,96,216
XYZ,90,128,216
XYZ,90,256,216
XYZ,90,512,216
XYZ,90,1000,216
XYZ,90,2000,216
XYZ,100,24,210
XYZ,100,32,210
XYZ,100,48,210
XYZ,100,64,210
XYZ,100,96,210
XYZ,100,128,210
XYZ,100,256,210
XYZ,100,512,210
XYZ,100,1000,210
XYZ,100,2000,210
